"search-number","evaluation","technology-diffusion-method*","word-of-mouth?*","technology-adoption*","technology-awareness*","debug?*","deliberation_rate*","innovation*","p_leader_social*","p_mainstream_social*","p_hedonistic_social*","num-replicates","best-fitness-so-far"
"4","155","""schwarz""","true","0","5","false","0.013709775354483877","""showerhead""","0.8234263185059343","0.4201477119272149","0.24091971801143863","5","19.164"
"4","165","""schwarz""","true","0","5","false","0.013709775354483877","""showerhead""","0.8234263185059343","0.4405601050672267","0.24091971801143863","5","19.163999999999998"
"4","210","""schwarz""","true","0","5","false","0.013709775354483877","""showerhead""","0.7365467191591493","0.5276788514127064","0.24091971801143863","5","18.812"
"4","220","""schwarz""","true","0","5","false","0.013709775354483877","""showerhead""","0.59895548455642","0.5276788514127064","0.24091971801143863","5","16.912000000000003"
"4","245","""schwarz""","true","0","5","false","0.013709775354483877","""showerhead""","0.59895548455642","0.547238996797277","0.24091971801143863","5","16.664000000000005"
"4","280","""schwarz""","true","0","5","false","0.013709775354483877","""showerhead""","0.45001639266843596","0.547238996797277","0.22844466123154572","5","16.512"
"4","285","""schwarz""","true","0","5","false","0.010561823579097835","""showerhead""","0.45001639266843596","0.547238996797277","0.22844466123154572","5","15.964"
"5","5","""schwarz""","true","0","5","false","0.02983416892782122","""showerhead""","0.49588640496187697","0.6842300551350929","0.9768335245208111","5","35.32"
"5","15","""schwarz""","true","0","5","false","0.02988825320024668","""showerhead""","0.6334671346472759","0.6842300551350929","0.9768335245208111","5","26.520000000000003"
"5","20","""schwarz""","true","0","5","false","0.02988825320024668","""showerhead""","0.6334671346472759","0.8173200649337237","0.9768335245208111","5","12.664000000000001"
"5","35","""schwarz""","true","0","5","false","0.02988825320024668","""showerhead""","0.6934119182389297","0.8173200649337237","0.9768335245208111","5","11.964"
"5","50","""schwarz""","true","0","5","false","0.030468071193285727","""showerhead""","0.6934119182389297","0.8173200649337237","0.9768335245208111","5","11.963999999999999"
"5","55","""schwarz""","true","0","5","false","0.030468071193285727","""showerhead""","0.6934119182389297","0.8173200649337237","1","5","11.764"
"5","80","""schwarz""","true","0","5","false","0.032704992669421236","""showerhead""","0.6934119182389297","0.8173200649337237","1","5","11.364000000000003"
"5","150","""schwarz""","true","0","5","false","0.033222884266529654","""showerhead""","0.6934119182389297","0.8173200649337237","1","5","10.564"
"5","240","""schwarz""","true","0","5","false","0.033222884266529654","""showerhead""","0.6780424523021124","0.8173200649337237","1","5","10.112000000000002"
"5","295","""schwarz""","true","0","5","false","0.033222884266529654","""showerhead""","0.6780424523021124","0.8173200649337237","0.9869148774880055","5","9.664"
"6","5","""schwarz""","true","0","5","false","0.01737589225206116","""showerhead""","0.012634846409769862","0.7820464010249923","0.5695452909303811","5","20.82"
"6","10","""schwarz""","true","0","5","false","0.01737589225206116","""showerhead""","0","0.7820464010249923","0.5695452909303811","5","19.32"
"6","15","""schwarz""","true","0","5","false","0.01737589225206116","""showerhead""","0.0983736226015995","0.7820464010249923","0.5695452909303811","5","18.919999999999998"
"6","20","""schwarz""","true","0","5","false","0.012717237431648456","""showerhead""","0.0983736226015995","0.7820464010249923","0.66644227465042","5","12.780000000000001"
"6","75","""schwarz""","true","0","5","false","0.01524776897457912","""showerhead""","0.16026265794550937","0.7820464010249923","0.7155984700752355","5","10.908000000000001"
"6","105","""schwarz""","true","0","5","false","0.01524776897457912","""showerhead""","0.16026265794550937","0.7820464010249923","0.7938419648578707","5","10.479999999999999"
"6","130","""schwarz""","true","0","5","false","0.01524776897457912","""showerhead""","0.16026265794550937","0.6025518163474392","0.7938419648578707","5","10.44"
"6","150","""schwarz""","true","0","5","false","0.01214105208340512","""showerhead""","0.15470290385610547","0.4680633206801462","0.7938419648578707","5","9.864"
"6","230","""schwarz""","true","0","5","false","0.01214105208340512","""showerhead""","0","0.5203334711124441","0.9125546721321989","5","7.363999999999999"
