"search-number","evaluation","evals-requested-so-far","number-of-nodes*","network-method*","technology-diffusion-method*","word-of-mouth?*","seeding-percentage*","debug?*","deliberation_rate*","innovation*","leader_w_social*","main_w_social*","hed_w_social*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","50","50","1000","""suslab""","""schwarz-alternative""","true","1","false","0.025467427711343332","""showerhead""","0.4440907045893724","0.9518227110585417","0.7754597728174841","""642988714""","1027.368","1027.368","1027.368","0","1027.368"
"1","51","55","1000","""suslab""","""schwarz-alternative""","true","1","false","0.022660817377791697","""showerhead""","0.49758977473232274","0.9518227110585417","0.7754597728174841","""1158430349""","1028.466","1028.466","1028.466","0","1028.466"
"1","52","55","1000","""suslab""","""schwarz-alternative""","true","1","false","0.022660817377791697","""showerhead""","0.49758977473232274","0.9518227110585417","0.7754597728174841","""-563565510""","1028.551","1028.551","1028.551","0","1028.551"
"1","53","55","1000","""suslab""","""schwarz-alternative""","true","1","false","0.022660817377791697","""showerhead""","0.49758977473232274","0.9518227110585417","0.7754597728174841","""1246147235""","1028.702","1028.702","1028.702","0","1028.702"
"1","54","55","1000","""suslab""","""schwarz-alternative""","true","1","false","0.022660817377791697","""showerhead""","0.49758977473232274","0.9518227110585417","0.7754597728174841","""-1110212127""","1028.23","1028.23","1028.23","0","1028.23"
"1","55","55","1000","""suslab""","""schwarz-alternative""","true","1","false","0.022660817377791697","""showerhead""","0.49758977473232274","0.9518227110585417","0.7754597728174841","""-1707388786""","28.877000000000002","28.877000000000002","28.877000000000002","0","28.877000000000002"
"1","56","60","1000","""suslab""","""schwarz-alternative""","true","1","false","0.022660817377791697","""showerhead""","0.49758977473232274","0.833556009057603","0.7754597728174841","""218017331""","28.911","28.911","28.911","0","28.911"
"1","57","60","1000","""suslab""","""schwarz-alternative""","true","1","false","0.022660817377791697","""showerhead""","0.49758977473232274","0.833556009057603","0.7754597728174841","""1990288809""","28.614","28.614","28.614","0","28.614"
"1","58","60","1000","""suslab""","""schwarz-alternative""","true","1","false","0.022660817377791697","""showerhead""","0.49758977473232274","0.833556009057603","0.7754597728174841","""267575400""","1028.984","1028.984","1028.984","0","1028.984"
"1","59","60","1000","""suslab""","""schwarz-alternative""","true","1","false","0.022660817377791697","""showerhead""","0.49758977473232274","0.833556009057603","0.7754597728174841","""-1106180546""","1028.211","1028.211","1028.211","0","1028.211"
"1","60","60","1000","""suslab""","""schwarz-alternative""","true","1","false","0.022660817377791697","""showerhead""","0.49758977473232274","0.833556009057603","0.7754597728174841","""1991510911""","1028.102","1028.102","1028.102","0","1028.102"
"1","61","65","1000","""suslab""","""schwarz-alternative""","true","1","false","0.022660817377791697","""showerhead""","0.5745173978392283","0.833556009057603","0.7754597728174841","""966563687""","1028.379","1028.379","1028.379","0","1028.379"
"1","62","65","1000","""suslab""","""schwarz-alternative""","true","1","false","0.022660817377791697","""showerhead""","0.5745173978392283","0.833556009057603","0.7754597728174841","""1118869715""","1028.28","1028.28","1028.28","0","1028.28"
"1","63","65","1000","""suslab""","""schwarz-alternative""","true","1","false","0.022660817377791697","""showerhead""","0.5745173978392283","0.833556009057603","0.7754597728174841","""704826883""","1027.834","1027.834","1027.834","0","1027.834"
"1","64","65","1000","""suslab""","""schwarz-alternative""","true","1","false","0.022660817377791697","""showerhead""","0.5745173978392283","0.833556009057603","0.7754597728174841","""1978207533""","28.833999999999996","28.833999999999996","28.833999999999996","0","28.833999999999996"
"1","65","65","1000","""suslab""","""schwarz-alternative""","true","1","false","0.022660817377791697","""showerhead""","0.5745173978392283","0.833556009057603","0.7754597728174841","""2010448766""","1028.271","1028.271","1028.271","0","1028.271"
"1","66","70","1000","""suslab""","""schwarz-alternative""","true","1","false","0.022660817377791697","""showerhead""","0.5745173978392283","0.766519740688702","0.7754597728174841","""-1289751238""","28.057000000000002","28.057000000000002","28.057000000000002","0","28.057000000000002"
"1","67","70","1000","""suslab""","""schwarz-alternative""","true","1","false","0.022660817377791697","""showerhead""","0.5745173978392283","0.766519740688702","0.7754597728174841","""-2003702747""","28.383","28.383","28.383","0","28.383"
"1","68","70","1000","""suslab""","""schwarz-alternative""","true","1","false","0.022660817377791697","""showerhead""","0.5745173978392283","0.766519740688702","0.7754597728174841","""-1675183152""","1029.072","1029.072","1029.072","0","1029.072"
"1","69","70","1000","""suslab""","""schwarz-alternative""","true","1","false","0.022660817377791697","""showerhead""","0.5745173978392283","0.766519740688702","0.7754597728174841","""2101066385""","1028.141","1028.141","1028.141","0","1028.141"
