"search-number","evaluation","evals-requested-so-far","number-of-nodes*","network-method*","technology-diffusion-method*","word-of-mouth?*","seeding-percentage*","debug?*","deliberation_rate*","innovation*","p_leader_social*","p_mainstream_social*","p_hedonistic_social*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","85","90","1000","""suslab""","""schwarz""","true","1","false","0.007025885376881081","""showerhead""","0.5981863928169038","0.5716260774872689","0.6776030388020344","""-43114056""","1027.855","1027.855","1027.855","0","1027.855"
"1","86","95","1000","""suslab""","""schwarz""","true","1","false","0.004852679441867312","""showerhead""","0.5981863928169038","0.5716260774872689","0.6776030388020344","""217982552""","1028.004","1028.004","1028.004","0","1028.004"
"1","87","95","1000","""suslab""","""schwarz""","true","1","false","0.004852679441867312","""showerhead""","0.5981863928169038","0.5716260774872689","0.6776030388020344","""-859623847""","1027.687","1027.687","1027.687","0","1027.687"
"1","88","95","1000","""suslab""","""schwarz""","true","1","false","0.004852679441867312","""showerhead""","0.5981863928169038","0.5716260774872689","0.6776030388020344","""-450127684""","1028.278","1028.278","1028.278","0","1028.278"
"1","89","95","1000","""suslab""","""schwarz""","true","1","false","0.004852679441867312","""showerhead""","0.5981863928169038","0.5716260774872689","0.6776030388020344","""1700904565""","1027.208","1027.208","1027.208","0","1027.208"
"1","90","95","1000","""suslab""","""schwarz""","true","1","false","0.004852679441867312","""showerhead""","0.5981863928169038","0.5716260774872689","0.6776030388020344","""519470323""","1028.002","1028.002","1028.002","0","1028.002"
"1","91","100","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5981863928169038","0.5716260774872689","0.6776030388020344","""-2108618320""","28.606","28.606","28.606","0","28.606"
"1","92","100","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5981863928169038","0.5716260774872689","0.6776030388020344","""-346889021""","1027.041","1027.041","1027.041","0","1027.041"
"1","93","100","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5981863928169038","0.5716260774872689","0.6776030388020344","""458043874""","1025.828","1025.828","1025.828","0","1025.828"
"1","94","100","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5981863928169038","0.5716260774872689","0.6776030388020344","""-1778305733""","1026.462","1026.462","1026.462","0","1026.462"
"1","95","100","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5981863928169038","0.5716260774872689","0.6776030388020344","""-1554085789""","1026.422","1026.422","1026.422","0","1026.422"
"1","96","105","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5693183316025237","0.5014338978024369","0.6776030388020344","""1924599613""","1026.71","1026.71","1026.71","0","1026.71"
"1","97","105","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5693183316025237","0.5014338978024369","0.6776030388020344","""-1710135445""","1027.92","1027.92","1027.92","0","1027.92"
"1","98","105","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5693183316025237","0.5014338978024369","0.6776030388020344","""1634807109""","1023.194","1023.194","1023.194","0","1023.194"
"1","99","105","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5693183316025237","0.5014338978024369","0.6776030388020344","""-937563273""","1026.388","1026.388","1026.388","0","1026.388"
"1","100","105","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5693183316025237","0.5014338978024369","0.6776030388020344","""-1388106367""","28.177","28.177","28.177","0","28.177"
"1","101","110","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5693183316025237","0.5014338978024369","0.8887525125042194","""1412266998""","1027.152","1027.152","1027.152","0","1027.152"
"1","102","110","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5693183316025237","0.5014338978024369","0.8887525125042194","""1546395628""","1027.994","1027.994","1027.994","0","1027.994"
"1","103","110","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5693183316025237","0.5014338978024369","0.8887525125042194","""1926318580""","1025.311","1025.311","1025.311","0","1025.311"
"1","104","110","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5693183316025237","0.5014338978024369","0.8887525125042194","""-90458988""","24.000000000000004","24.000000000000004","24.000000000000004","0","24.000000000000004"
"1","105","110","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5693183316025237","0.5014338978024369","0.8887525125042194","""158691935""","1025.566","1025.566","1025.566","0","1025.566"
"1","106","115","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5693183316025237","0.43680818709108143","0.8887525125042194","""1878981439""","1028.059","1028.059","1028.059","0","1028.059"
"1","107","115","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5693183316025237","0.43680818709108143","0.8887525125042194","""134702233""","1026.283","1026.283","1026.283","0","1026.283"
"1","108","115","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5693183316025237","0.43680818709108143","0.8887525125042194","""-982441374""","27.726000000000003","27.726000000000003","27.726000000000003","0","27.726000000000003"
"1","109","115","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5693183316025237","0.43680818709108143","0.8887525125042194","""-1736110273""","25.066000000000003","25.066000000000003","25.066000000000003","0","25.066000000000003"
"1","110","115","1000","""suslab""","""schwarz""","true","1","false","0.008557132458152391","""showerhead""","0.5693183316025237","0.43680818709108143","0.8887525125042194","""-836728854""","1027.977","1027.977","1027.977","0","1027.977"
"1","111","120","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.43680818709108143","0.8887525125042194","""-760040850""","1027.053","1027.053","1027.053","0","1027.053"
"1","112","120","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.43680818709108143","0.8887525125042194","""241160862""","1027.589","1027.589","1027.589","0","1027.589"
"1","113","120","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.43680818709108143","0.8887525125042194","""-276419290""","1026.217","1026.217","1026.217","0","1026.217"
"1","114","120","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.43680818709108143","0.8887525125042194","""1508641575""","1025.533","1025.533","1025.533","0","1025.533"
"1","115","120","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.43680818709108143","0.8887525125042194","""396179539""","1024.298","1024.298","1024.298","0","1024.298"
"1","116","125","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.3588354619744026","0.8887525125042194","""1172641263""","1029.115","1029.115","1029.115","0","1029.115"
"1","117","125","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.3588354619744026","0.8887525125042194","""659736467""","1025.771","1025.771","1025.771","0","1025.771"
"1","118","125","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.3588354619744026","0.8887525125042194","""-13333399""","1023.319","1023.319","1023.319","0","1023.319"
"1","119","125","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.3588354619744026","0.8887525125042194","""810021917""","1025.504","1025.504","1025.504","0","1025.504"
"1","120","125","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.3588354619744026","0.8887525125042194","""-1579072865""","1027.462","1027.462","1027.462","0","1027.462"
"1","121","130","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.19908026728529918","0.8887525125042194","""-145054562""","1026.145","1026.145","1026.145","0","1026.145"
"1","122","130","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.19908026728529918","0.8887525125042194","""-1145809065""","20.368000000000002","20.368000000000002","20.368000000000002","0","20.368000000000002"
"1","123","130","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.19908026728529918","0.8887525125042194","""644287763""","23.311000000000003","23.311000000000003","23.311000000000003","0","23.311000000000003"
"1","124","130","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.19908026728529918","0.8887525125042194","""881747362""","1027.289","1027.289","1027.289","0","1027.289"
"1","125","130","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.19908026728529918","0.8887525125042194","""-48157144""","22.207","22.207","22.207","0","22.207"
"1","126","135","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.19908026728529918","0.7207851316552116","""2002398178""","1024.872","1024.872","1024.872","0","1024.872"
"1","127","135","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.19908026728529918","0.7207851316552116","""-294750551""","1027.578","1027.578","1027.578","0","1027.578"
"1","128","135","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.19908026728529918","0.7207851316552116","""-1162268609""","1027.664","1027.664","1027.664","0","1027.664"
"1","129","135","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.19908026728529918","0.7207851316552116","""1833537059""","25.128","25.128","25.128","0","25.128"
"1","130","135","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.19908026728529918","0.7207851316552116","""-316942179""","21.148","21.148","21.148","0","21.148"
"1","131","140","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.19908026728529918","0.8619716973334868","""-902335843""","26.046000000000003","26.046000000000003","26.046000000000003","0","26.046000000000003"
"1","132","140","1000","""suslab""","""schwarz""","true","1","false","0.007425053155003513","""showerhead""","0.5693183316025237","0.19908026728529918","0.8619716973334868","""-2118845393""","1027.96","1027.96","1027.96","0","1027.96"
