"search-number","evaluation","evals-requested-so-far","number-of-nodes*","network-method*","technology-diffusion-method*","word-of-mouth?*","seeding-percentage*","debug?*","innovation*","p_leader_social*","p_mainstream_social*","p_hedonistic_social*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","19","19","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.7016865891647871","0.5452367858416276","0.5085112512025438","""-2006683288""","17.462","17.462","17.462","0","17.462"
"1","20","20","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.6096260530891303","0.5452367858416276","0.5085112512025438","""-1116848363""","18.614000000000004","18.614000000000004","18.614000000000004","0","18.614000000000004"
"1","21","21","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.6048885538588149","0.5396678245260823","0.5085112512025438","""-487726649""","14.344000000000001","14.344000000000001","14.344000000000001","0","14.344000000000001"
"1","22","22","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.6048885538588149","0.5871601708854435","0.5085112512025438","""-719369184""","15.832999999999998","15.832999999999998","15.832999999999998","0","15.832999999999998"
"1","23","23","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.5244012258149968","0.5396678245260823","0.5085112512025438","""-1275655641""","17.948","17.948","17.948","0","17.948"
"1","24","24","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.5386147713441048","0.5396678245260823","0.3426546627049506","""-1661704993""","15.002000000000002","15.002000000000002","15.002000000000002","0","15.002000000000002"
"1","25","25","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.6048885538588149","0.5396678245260823","0.4212169285238513","""898715860""","17.575000000000003","17.575000000000003","17.575000000000003","0","17.575000000000003"
"1","26","26","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.6048885538588149","0.5396678245260823","0.6132717633561919","""-50609777""","15.462999999999997","15.462999999999997","15.462999999999997","0","15.462999999999997"
"1","27","27","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.5074836271108776","0.5396678245260823","0.5085112512025438","""-1038018535""","13.072","13.072","13.072","0","13.072"
"1","28","28","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.5389617884391165","0.5396678245260823","0.5085112512025438","""411730607""","15.187000000000001","15.187000000000001","15.187000000000001","0","15.187000000000001"
"1","29","29","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.4860621887664985","0.5396678245260823","0.5085112512025438","""-1184399744""","14.391000000000002","14.391000000000002","14.391000000000002","0","14.391000000000002"
"1","30","30","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.5074836271108776","0.5396678245260823","0.4580217287544531","""1379370496""","15.088999999999999","15.088999999999999","15.088999999999999","0","15.088999999999999"
"1","31","31","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.5074836271108776","0.6387920357154104","0.5085112512025438","""-1114168697""","17.676","17.676","17.676","0","17.676"
"1","32","32","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.5074836271108776","0.5306734095148996","0.5085112512025438","""-685459635""","13.729","13.729","13.729","0","13.729"
"1","33","33","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.5074836271108776","0.5122207846448188","0.5085112512025438","""514912760""","12.421999999999997","12.421999999999997","12.421999999999997","0","12.421999999999997"
"1","34","34","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.5074836271108776","0.3905140666662388","0.5085112512025438","""917114841""","18.545","18.545","18.545","0","18.545"
"1","35","35","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.5074836271108776","0.4434581209483394","0.5085112512025438","""410941348""","16.592","16.592","16.592","0","16.592"
"1","36","36","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.5074836271108776","0.5122207846448188","0.5090999059230108","""1531868518""","16.018","16.018","16.018","0","16.018"
"1","37","37","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.5074836271108776","0.5268101226534415","0.5085112512025438","""425768984""","13.060999999999998","13.060999999999998","13.060999999999998","0","13.060999999999998"
"1","38","38","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.5074836271108776","0.5122207846448188","0.6711703693085501","""1181172525""","12.647000000000002","12.647000000000002","12.647000000000002","0","12.647000000000002"
"1","39","39","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.5074836271108776","0.4017721223398139","0.6711703693085501","""569189020""","14.61","14.61","14.61","0","14.61"
"1","40","40","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.5074836271108776","0.5899833698825755","0.6711703693085501","""1226490798""","12.671","12.671","12.671","0","12.671"
"1","41","41","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.5074836271108776","0.5899833698825755","0.6228170659454454","""-1876236131""","15.43","15.43","15.43","0","15.43"
"1","42","42","1000","""suslab""","""schwarz""","false","0","false","""showerhead""","0.5074836271108776","0.36789495757838775","0.6711703693085501","""-864134769""","15.241999999999999","15.241999999999999","15.241999999999999","0","15.241999999999999"
