"search-number","evaluation","evals-requested-so-far","number-of-nodes*","network-method*","technology-diffusion-method*","word-of-mouth?*","seeding-percentage*","debug?*","deliberation_rate*","innovation*","leader_w_social*","main_w_social*","hed_w_social*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","14","16","1000","""suslab""","""schwarz-alternative""","true","0","false","0.010268396203707177","""showerhead""","0.10289380903606977","0.4042123278157074","0.06713593258782535","""-1466789947""","28.995","28.995","28.995","0","28.995"
"1","15","16","1000","""suslab""","""schwarz-alternative""","true","0","false","0.010268396203707177","""showerhead""","0.10289380903606977","0.4042123278157074","0.06713593258782535","""-864182786""","29.412","29.412","29.412","0","29.412"
"1","16","16","1000","""suslab""","""schwarz-alternative""","true","0","false","0.010268396203707177","""showerhead""","0.10289380903606977","0.4042123278157074","0.06713593258782535","""1180652726""","28.784","28.784","28.784","0","28.784"
"1","17","20","1000","""suslab""","""schwarz-alternative""","true","0","false","0.010268396203707177","""showerhead""","0.13046777948551203","0.4042123278157074","0","""-726259192""","27.617","27.617","27.617","0","27.617"
"1","18","20","1000","""suslab""","""schwarz-alternative""","true","0","false","0.010268396203707177","""showerhead""","0.13046777948551203","0.4042123278157074","0","""-456571435""","28.729999999999997","28.729999999999997","28.729999999999997","0","28.729999999999997"
"1","19","20","1000","""suslab""","""schwarz-alternative""","true","0","false","0.010268396203707177","""showerhead""","0.13046777948551203","0.4042123278157074","0","""-1304521865""","28.375","28.375","28.375","0","28.375"
"1","20","20","1000","""suslab""","""schwarz-alternative""","true","0","false","0.010268396203707177","""showerhead""","0.13046777948551203","0.4042123278157074","0","""-1957522310""","28.746","28.746","28.746","0","28.746"
"1","21","24","1000","""suslab""","""schwarz-alternative""","true","0","false","0.007585636088177881","""showerhead""","0.10642589722343411","0.4042123278157074","0","""-419797976""","28.644","28.644","28.644","0","28.644"
"1","22","24","1000","""suslab""","""schwarz-alternative""","true","0","false","0.007585636088177881","""showerhead""","0.10642589722343411","0.4042123278157074","0","""-1866356169""","28.584","28.584","28.584","0","28.584"
"1","23","24","1000","""suslab""","""schwarz-alternative""","true","0","false","0.007585636088177881","""showerhead""","0.10642589722343411","0.4042123278157074","0","""666841183""","29.158","29.158","29.158","0","29.158"
"1","24","24","1000","""suslab""","""schwarz-alternative""","true","0","false","0.007585636088177881","""showerhead""","0.10642589722343411","0.4042123278157074","0","""-484492973""","27.735","27.735","27.735","0","27.735"
"1","25","28","1000","""suslab""","""schwarz-alternative""","true","0","false","0.007585636088177881","""showerhead""","0.10642589722343411","0.49090423199435906","0","""-1092866459""","28.561999999999998","28.561999999999998","28.561999999999998","0","28.561999999999998"
"1","26","28","1000","""suslab""","""schwarz-alternative""","true","0","false","0.007585636088177881","""showerhead""","0.10642589722343411","0.49090423199435906","0","""830270807""","28.655","28.655","28.655","0","28.655"
"1","27","28","1000","""suslab""","""schwarz-alternative""","true","0","false","0.007585636088177881","""showerhead""","0.10642589722343411","0.49090423199435906","0","""443143775""","27.401","27.401","27.401","0","27.401"
"1","28","28","1000","""suslab""","""schwarz-alternative""","true","0","false","0.007585636088177881","""showerhead""","0.10642589722343411","0.49090423199435906","0","""458920361""","28.650000000000002","28.650000000000002","28.650000000000002","0","28.650000000000002"
