"search-number","evaluation","evals-requested-so-far","number-of-nodes*","network-method*","technology-diffusion-method*","word-of-mouth?*","seeding-percentage*","debug?*","deliberation_rate*","innovation*","leader_w_social*","main_w_social*","hed_w_social*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","19","20","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.40473519909258915","0.48451199566434333","0.32447199772282365","""1327003851""","27.981","27.981","27.981","0","27.981"
"1","20","20","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.40473519909258915","0.48451199566434333","0.32447199772282365","""-2139405473""","28.263","28.263","28.263","0","28.263"
"1","21","24","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.33078296256330664","0.48451199566434333","0.32447199772282365","""721690085""","28.667","28.667","28.667","0","28.667"
"1","22","24","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.33078296256330664","0.48451199566434333","0.32447199772282365","""-1710633470""","29.058","29.058","29.058","0","29.058"
"1","23","24","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.33078296256330664","0.48451199566434333","0.32447199772282365","""1983853226""","29.332000000000004","29.332000000000004","29.332000000000004","0","29.332000000000004"
"1","24","24","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.33078296256330664","0.48451199566434333","0.32447199772282365","""-113479540""","27.829","27.829","27.829","0","27.829"
"1","25","28","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.33078296256330664","0.28445397192040434","0.32447199772282365","""1769415276""","28.364000000000004","28.364000000000004","28.364000000000004","0","28.364000000000004"
"1","26","28","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.33078296256330664","0.28445397192040434","0.32447199772282365","""722640276""","29.295","29.295","29.295","0","29.295"
"1","27","28","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.33078296256330664","0.28445397192040434","0.32447199772282365","""1447976318""","28.339000000000002","28.339000000000002","28.339000000000002","0","28.339000000000002"
"1","28","28","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.33078296256330664","0.28445397192040434","0.32447199772282365","""-2068873277""","29.175","29.175","29.175","0","29.175"
"1","29","32","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.33078296256330664","0.28445397192040434","0.2096602672826674","""-1189516427""","28.204","28.204","28.204","0","28.204"
"1","30","32","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.33078296256330664","0.28445397192040434","0.2096602672826674","""305409382""","28.697000000000003","28.697000000000003","28.697000000000003","0","28.697000000000003"
"1","31","32","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.33078296256330664","0.28445397192040434","0.2096602672826674","""-86006318""","29.053","29.053","29.053","0","29.053"
"1","32","32","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.33078296256330664","0.28445397192040434","0.2096602672826674","""1875112373""","28.679000000000002","28.679000000000002","28.679000000000002","0","28.679000000000002"
"1","33","36","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.33078296256330664","0.39878742346852813","0.2096602672826674","""-509198729""","29.926999999999996","29.926999999999996","29.926999999999996","0","29.926999999999996"
"1","34","36","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.33078296256330664","0.39878742346852813","0.2096602672826674","""1391438003""","28.217999999999996","28.217999999999996","28.217999999999996","0","28.217999999999996"
"1","35","36","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.33078296256330664","0.39878742346852813","0.2096602672826674","""-1608903756""","27.303000000000004","27.303000000000004","27.303000000000004","0","27.303000000000004"
"1","36","36","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.33078296256330664","0.39878742346852813","0.2096602672826674","""1162385301""","28.488","28.488","28.488","0","28.488"
"1","37","40","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.32827339541874084","0.39878742346852813","0.2096602672826674","""-510425869""","26.972","26.972","26.972","0","26.972"
"1","38","40","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.32827339541874084","0.39878742346852813","0.2096602672826674","""536916715""","28.272","28.272","28.272","0","28.272"
"1","39","40","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.32827339541874084","0.39878742346852813","0.2096602672826674","""1761026259""","28.450000000000003","28.450000000000003","28.450000000000003","0","28.450000000000003"
"1","40","40","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.32827339541874084","0.39878742346852813","0.2096602672826674","""-353632345""","28","28","28","0","28"
"1","41","44","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.1394492808294467","0.39878742346852813","0.2096602672826674","""356091961""","11.168","11.168","11.168","0","11.168"
"1","42","44","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.1394492808294467","0.39878742346852813","0.2096602672826674","""-2005642328""","12.574000000000002","12.574000000000002","12.574000000000002","0","12.574000000000002"
"1","43","44","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.1394492808294467","0.39878742346852813","0.2096602672826674","""-1178023279""","13.075","13.075","13.075","0","13.075"
"1","44","44","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.1394492808294467","0.39878742346852813","0.2096602672826674","""-1218092719""","14.039","14.039","14.039","0","14.039"
"1","45","48","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.1394492808294467","0.39878742346852813","0.2836687690271668","""812614237""","10.896","10.896","10.896","0","10.896"
"1","46","48","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.1394492808294467","0.39878742346852813","0.2836687690271668","""1463544155""","10.611","10.611","10.611","0","10.611"
"1","47","48","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.1394492808294467","0.39878742346852813","0.2836687690271668","""-292863824""","12.096","12.096","12.096","0","12.096"
"1","48","48","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.1394492808294467","0.39878742346852813","0.2836687690271668","""-124104532""","12.082","12.082","12.082","0","12.082"
"1","49","52","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.1394492808294467","0.39878742346852813","0.33539058965602025","""1814034287""","11.918999999999999","11.918999999999999","11.918999999999999","0","11.918999999999999"
"1","50","52","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.1394492808294467","0.39878742346852813","0.33539058965602025","""-1419365243""","12.171","12.171","12.171","0","12.171"
"1","51","52","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.1394492808294467","0.39878742346852813","0.33539058965602025","""-138093413""","11.844","11.844","11.844","0","11.844"
"1","52","52","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.1394492808294467","0.39878742346852813","0.33539058965602025","""108612272""","14.49","14.49","14.49","0","14.49"
"1","53","56","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.1394492808294467","0.39710118409657286","0.33539058965602025","""745095715""","12.322","12.322","12.322","0","12.322"
"1","54","56","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.1394492808294467","0.39710118409657286","0.33539058965602025","""-1897751107""","12.261000000000001","12.261000000000001","12.261000000000001","0","12.261000000000001"
"1","55","56","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.1394492808294467","0.39710118409657286","0.33539058965602025","""-1408730083""","12.563999999999998","12.563999999999998","12.563999999999998","0","12.563999999999998"
"1","56","56","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.1394492808294467","0.39710118409657286","0.33539058965602025","""2006067135""","13.056","13.056","13.056","0","13.056"
"1","57","60","1000","""suslab""","""schwarz-alternative""","false","0","false","0.004","""showerhead""","0.16462804387393537","0.39878742346852813","0.33539058965602025","""1632611462""","28.597","28.597","28.597","0","28.597"
